US-UT,01000,Beaver County
US-UT,01002,Beaver City
US-UT,01008,Milford
US-UT,01009,Minersville
US-UT,01500,UIPA Min Mt - Beaver Co
US-UT,01501,UIPA Min Mt - Beaver City
US-UT,01502,UIPA Min Mt - Milford
US-UT,02000,Box Elder County
US-UT,02004,Bear River
US-UT,02017,Brigham
US-UT,02025,Corinne
US-UT,02032,Deweyville
US-UT,02035,Elwood
US-UT,02041,Fielding
US-UT,02044,Garland
US-UT,02054,Honeyville
US-UT,02057,Howell
US-UT,02069,Mantua
US-UT,02086,Perry
US-UT,02090,Plymouth
US-UT,02092,Portage
US-UT,02100,Snowville
US-UT,02113,Tremonton
US-UT,02120,Willard
US-UT,02500,UIPA GS - Box Elder Co
US-UT,02501,UIPA GS - Brigham City
US-UT,02502,UIPA GS - Garland
US-UT,02503,UIPA GS - Tremonton
US-UT,03000,Cache County
US-UT,03001,Amalga
US-UT,03014,Clarkston
US-UT,03017,Cornish
US-UT,03032,Hyde Park
US-UT,03033,Hyrum
US-UT,03036,Lewiston
US-UT,03038,Logan
US-UT,03041,Mendon
US-UT,03044,Millville
US-UT,03047,Newton
US-UT,03049,North Logan
US-UT,03053,Paradise
US-UT,03056,Providence
US-UT,03059,Richmond
US-UT,03060,River Heights
US-UT,03062,Smithfield
US-UT,03076,Wellsville
US-UT,03081,Trenton
US-UT,03098,Nibley
US-UT,03900,Cache Valley Transit
US-UT,04000,Carbon County
US-UT,04016,Helper
US-UT,04035,Price
US-UT,04040,Scofield
US-UT,04053,Wellington
US-UT,04058,East Carbon
US-UT,05000,Daggett County
US-UT,05002,Dutch John
US-UT,05006,Manila
US-UT,06000,Davis County
US-UT,06004,Bountiful
US-UT,06006,Centerville
US-UT,06008,Clearfield
US-UT,06010,Fruit Heights
US-UT,06017,Farmington
US-UT,06026,Kaysville
US-UT,06030,Layton
US-UT,06035,North Salt Lake
US-UT,06045,South Weber
US-UT,06048,Sunset
US-UT,06049,Syracuse
US-UT,06056,West Point
US-UT,06057,Woods Cross
US-UT,06059,Clinton
US-UT,06061,West Bountiful
US-UT,06300,Falcon Hill Davis
US-UT,06301,Falcon Hill Clearfield
US-UT,06302,Falcon Hill Sunset
US-UT,07000,Duchesne County
US-UT,07001,Altamont
US-UT,07008,Duchesne City
US-UT,07017,Myton
US-UT,07019,Roosevelt
US-UT,07020,Tabiona
US-UT,08000,Emery County
US-UT,08001,Castle Dale
US-UT,08003,Clawson
US-UT,08004,Cleveland
US-UT,08007,Elmo
US-UT,08008,Emery City
US-UT,08009,Ferron
US-UT,08011,Green River
US-UT,08012,Huntington
US-UT,08016,Orangeville
US-UT,09000,Garfield County
US-UT,09001,Antimony
US-UT,09002,Boulder
US-UT,09003,Bryce Canyon
US-UT,09004,Cannonville
US-UT,09005,Escalante
US-UT,09006,Hatch
US-UT,09008,Henrieville
US-UT,09011,Panguitch
US-UT,09015,Tropic
US-UT,10000,Grand County
US-UT,10005,Castle Valley
US-UT,10011,Moab
US-UT,11000,Iron County
US-UT,11003,Cedar City
US-UT,11005,Enoch
US-UT,11012,Kanarraville
US-UT,11018,Paragonah
US-UT,11019,Parowan
US-UT,11028,Brian Head
US-UT,11501,Inland Port Iron Springs
US-UT,12000,Juab County
US-UT,12009,Eureka
US-UT,12019,Levan
US-UT,12024,Mona
US-UT,12026,Nephi
US-UT,12030,Rocky Ridge Town
US-UT,12050,Santaquin South
US-UT,12500,UIPA Agri-Park
US-UT,13000,Kane County
US-UT,13001,Alton
US-UT,13002,Glendale
US-UT,13004,Kanab
US-UT,13007,Orderville
US-UT,13010,Big Water
US-UT,14000,Millard County
US-UT,14010,Delta
US-UT,14014,Fillmore
US-UT,14023,Hinckley
US-UT,14024,Holden
US-UT,14026,Kanosh
US-UT,14028,Leamington
US-UT,14030,Lynndyl
US-UT,14034,Meadow
US-UT,14037,Oak City
US-UT,14040,Scipio
US-UT,15000,Morgan County
US-UT,15007,Morgan City
US-UT,16000,Piute County
US-UT,16003,Circleville
US-UT,16005,Junction
US-UT,16006,Kingston
US-UT,16007,Marysvale
US-UT,17000,Rich County
US-UT,17001,Garden City
US-UT,17002,Laketown
US-UT,17005,Randolph
US-UT,17010,Woodruff
US-UT,18000,Salt Lake County
US-UT,18003,Alta
US-UT,18010,Brighton
US-UT,18019,Bluffdale
US-UT,18020,Cottonwood Heights
US-UT,18039,Draper
US-UT,18060,Herriman
US-UT,18065,Holladay
US-UT,18093,Midvale
US-UT,18094,Millcreek
US-UT,18096,Murray
US-UT,18118,Riverton
US-UT,18122,Salt Lake City
US-UT,18131,Sandy
US-UT,18138,South Jordan
US-UT,18139,South Salt Lake
US-UT,18142,Taylorsville
US-UT,18155,West Jordan
US-UT,18167,West Valley City
US-UT,18300,Utah Data Center SL Co
US-UT,18301,MIDA Sundance - SLC
US-UT,18401,Copperton Township
US-UT,18402,Emigration Canyon Township
US-UT,18403,Kearns Township
US-UT,18404,Magna Township
US-UT,18405,White City Township
US-UT,18501,Inland Port Salt Lake City
US-UT,18502,Inland Port West Valley City
US-UT,18503,Inland Port Magna
US-UT,18504,Inland Port Salt Lake County
US-UT,18601,SLC Convention Hotel
US-UT,18701,Salt Lake City HTRZ
US-UT,18702,Sandy HTRZ
US-UT,18703,South Salt Lake HTRZ
US-UT,19000,San Juan County
US-UT,19002,Blanding
US-UT,19004,Bluff
US-UT,19009,Monticello
US-UT,20000,Sanpete County
US-UT,20004,Centerfield
US-UT,20008,Ephraim
US-UT,20009,Fairview
US-UT,20010,Fayette
US-UT,20011,Fountain Green
US-UT,20014,Gunnison
US-UT,20020,Manti
US-UT,20021,Mayfield
US-UT,20023,Moroni
US-UT,20024,Mt. Pleasant
US-UT,20031,Spring City
US-UT,20032,Sterling
US-UT,20033,Wales
US-UT,21000,Sevier County
US-UT,21001,Annabella
US-UT,21002,Aurora
US-UT,21007,Central Valley
US-UT,21014,Elsinore
US-UT,21018,Glenwood
US-UT,21025,Joseph
US-UT,21029,Koosharem
US-UT,21031,Monroe
US-UT,21033,Redmond
US-UT,21034,Richfield
US-UT,21035,Salina
US-UT,21038,Sigurd
US-UT,22000,Summit County
US-UT,22006,Coalville
US-UT,22013,Francis
US-UT,22017,Henefer
US-UT,22022,Kamas
US-UT,22029,Oakley
US-UT,22030,Park City
US-UT,22900,Snyderville Basin Tr Dist
US-UT,23000,Tooele County
US-UT,23018,Erda
US-UT,23020,Erda City West
US-UT,23023,Grantsville
US-UT,23031,Lakepoint City
US-UT,23035,Lakepoint Transit
US-UT,23046,Stockton
US-UT,23048,Tooele City
US-UT,23050,Vernon
US-UT,23052,Wendover
US-UT,23056,Rush Valley
US-UT,23065,Lincoln
US-UT,23066,Stansbury Park
US-UT,23301,Dugway Proving Grounds
US-UT,23500,UIPA Tooele Valley
US-UT,23501,UIPA Twenty Wells
US-UT,24000,Uintah County
US-UT,24014,Naples
US-UT,24024,Vernal
US-UT,24028,Ballard
US-UT,25000,Utah County
US-UT,25001,Alpine
US-UT,25002,American Fork
US-UT,25010,Bluffdale South
US-UT,25019,Cedar Fort
US-UT,25029,Draper City South
US-UT,25030,Eagle Mountain
US-UT,25035,Fairfield
US-UT,25038,Genola
US-UT,25043,Goshen
US-UT,25066,Lehi
US-UT,25070,Lindon
US-UT,25073,Mapleton
US-UT,25083,Orem
US-UT,25085,Payson
US-UT,25088,Pleasant Grove
US-UT,25090,Provo
US-UT,25096,Salem
US-UT,25097,Santaquin
US-UT,25098,Saratoga Springs
US-UT,25099,Highland
US-UT,25103,Spanish Fork
US-UT,25106,Springville
US-UT,25117,Vineyard
US-UT,25123,Cedar Hills
US-UT,25124,Elk Ridge
US-UT,25125,Woodland Hills
US-UT,25300,Utah Data Center Utah Co
